NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
 K-market Seppäläntie;Seppäläntie 19;07900;Loviisa;Loviisa;29.07.2018;Vähittäismyyntilupa/max. 5.5 %;2480964-8
 Laanthai Ravintola;Ursininkatu 12;20100;Turku;Turku;01.09.2020;Ann.lupa sis. vähittäismyynnin;2503789-7
 Lucky Palace;Porttisuontie 4;01200;Vantaa;Vantaa;01.04.2023;Anniskelu A, kaikki alkoholijuomat;2559958-2
 Bodegan  Käringsunds Gästhamn;Gamla Käringsundsvägen;22270;Eckerö;Eckerö;31.03.2021;Anniskelu A, kaikki alkoholijuomat;2104560-3
 Kauppala ;Hollikankaantie 149 A 3;42910;Pihlajavesi;Keuruu;30.04.2013;Vähittäismyyntilupa/max. 5.5 %;2520002-5
 Kea-Market ;Söderby 50;22610;Lemland;Lemland;01.08.1969;Vähittäismyyntilupa/max. 5.5 %;0205037-8
10-Kerho;Asemakatu 10;84100;Ylivieska;Ylivieska;28.05.2009;Anniskelu A, kaikki alkoholijuomat;2264928-1
1000 Lakes Distillery;Jääskeläntie 214;40800;Vaajakoski;Jyväskylä;09.12.2020;Käsityöläisoluen vähittäismyynti/max 12.0%;2374374-7
158 Kiinalainen ravintola;Viilarinkatu 3;20320;Turku;Turku;05.11.2018;Anniskelu A, kaikki alkoholijuomat;2912106-8
1Etappi;Etappitie 1;95200;Simo;Simo;01.02.2022;Anniskelu A, kaikki alkoholijuomat;N/A
1H+Keittiö, Ett rum och kök;Hovrättsesplanaden 13 A;65100;Vaasa;Vaasa;15.12.2011;Anniskelu A, kaikki alkoholijuomat;2439278-2
1bar;Kauppurienkatu 5;90100;Oulu;Oulu;25.01.2008;Anniskelu A, kaikki alkoholijuomat;2165210-4
2H+K Baari & Keittiö;Aleksanterinkatu 33;33100;Tampere;Tampere;30.01.2004;Anniskelu A, kaikki alkoholijuomat;1862172-9
2Puoli;Urheilukentäntie 22;21820;Kumila;Pöytyä;01.05.2023;Määräaikainen A, kaikki alkoholijuomat;0668728-8
2Puuta Bistro & Bar;Kauppalankatu 2;05800;Hyvinkää;Hyvinkää;02.04.2020;Ann.lupa sis. vähittäismyynnin;2906070-1
3-0 Sportbar Burger etc.;Yliskylän puistokatu 4;00840;Helsinki;Helsinki;22.11.2018;Anniskelu A, kaikki alkoholijuomat;2876270-1
32 Rock Bar;Mäkelänkatu 32;00510;Helsinki;Helsinki;01.09.2019;Anniskelu A, kaikki alkoholijuomat;2976401-2
45 Special;Saaristonkatu 12;90100;Oulu;Oulu;01.02.2023;Anniskelu A, kaikki alkoholijuomat;3330117-6
4Catering Oy;Pyynikintie 25 y 14;33230;Tampere;Tampere;02.07.2018;Anniskelulupa ilman toimipaikkaa;2478706-3
4Chiefs;Leppävaarankatu 3-9;02600;Espoo;Espoo;31.07.2020;Anniskelu A, kaikki alkoholijuomat;3132285-4
4Vuodenaikaa Aleksanterinpuisto;Puutarhakatu 32;33230;Tampere;Tampere;10.08.2020;Anniskelu A, kaikki alkoholijuomat;3147106-7
5piste5 x Myrrys;Brahenkatu 2;20100;Turku;Turku;01.03.2023;Ann.lupa sis. vähittäismyynnin;3336573-5
60s Palaver;Kauppakatu 22;80100;Joensuu;Joensuu;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2596525-5
8-Bit Save Point;Karamalmintie 2;02630;Espoo;Espoo;16.10.2020;Käsityöläisoluen vähittäismyynti/max 12.0%;2769923-7
8-Bit Save Point Terrace;Hankasuontie 4;00390;Helsinki;Helsinki;01.07.2020;Anniskelu A, kaikki alkoholijuomat;2769923-7
8Baari;Ylioppilaankatu 6-8;33720;Tampere;Tampere;01.01.2016;Anniskelu A, kaikki alkoholijuomat;N/A
96 aste;Kauppakatu 26;87100;Kajaani;Kajaani;12.04.2003;Anniskelu A, kaikki alkoholijuomat;1733494-7
9PIRTTI;Ysitie 1086;77630;Lempyy;Suonenjoki;03.04.2020;Ann.lupa sis. vähittäismyynnin;N/A
@EVA;Kauppiaskatu 4;21600;Parainen;PARAINEN;01.07.2019;Anniskelu A, kaikki alkoholijuomat;1802985-6
A Nissinen Ky;Hämeenlampi;74230;Salahmi;Vieremä;06.11.1990;Vähittäismyyntilupa/max. 5.5 %;0283868-3
A-Biljardi Oy;Yliopistonkatu 14;20100;Turku;Turku;01.03.2023;Ann.lupa sis. vähittäismyynnin;2690472-9
A-kioski;Teollisuuskatu 3;00510;Helsinki;Helsinki;22.02.2021;Vähittäismyyntilupa/max. 5.5 %;3163666-9
A.O. Vuorinen Oy / Kauppahalli-;Torikatu 3;15110;Lahti;Lahti;13.06.1995;Vähittäismyyntilupa/max. 5.5 %;0149578-9
AA HAN THAI;Mechelininkatu 17;00100;Helsinki;Helsinki;11.12.2012;Anniskelu A, kaikki alkoholijuomat;2489834-5
AAKOO Pub;Kiekkokuja 1;46900;Inkeroinen;Kouvola;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0906820-4
AAVA Lapland;Vaeltajantie 2;95980;Ylläsjärvi;Kolari;17.07.2020;Anniskelu A, kaikki alkoholijuomat;2382038-6
AB Oneils Kitchen Oy;Simhallsvägen 1;64230;Närpiö As;Närpiö;13.11.2018;Anniskelu A, kaikki alkoholijuomat;2814218-2
ABB;Valimopolku 4;00380;Helsinki;Helsinki;18.03.2005;Anniskelu A, kaikki alkoholijuomat;0873697-9
ABC  Majakka;Pyhtääntie 38-40;49270;Pyhtää;Pyhtää;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2467766-5
ABC  Nastola;Majakkatie 2;15540;Villähde;Lahti;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0910257-2
ABC  Nurmes Market;Välitie 2-4;75530;Nurmes;Nurmes;01.09.2019;Vähittäismyyntilupa/max. 5.5 %;0168170-9
ABC  Vaasa Kivihaka;Kiilletie 2;65300;Vaasa;Vaasa;04.06.2014;Vähittäismyyntilupa/max. 5.5 %;0242821-1
ABC Alajärvi;Yrittäjäntie 5;62900;Alajärvi;Alajärvi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0567671-2
ABC Amiraali;Haminantie 1;48770;Kotka;Kotka;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2467766-5
ABC Amiraali, Sale;Haminantie 1;48810;Kotka;Kotka;01.01.2013;Vähittäismyyntilupa/max. 5.5 %;2467766-5
ABC Anjalankoski;Hallitie 2;46860;Keltakangas;Kouvola;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2467766-5
ABC Anjalankoski;Hallitie 2;46860;Keltakangas;Kouvola;01.01.2013;Vähittäismyyntilupa/max. 5.5 %;2467766-5
ABC Aura myymälä;Valtatie 36;21380;Aura;Aura;01.01.2015;Vähittäismyyntilupa/max. 5.5 %;0142122-9
ABC Deli Outokumpu;Keskuskatu 1;83500;Outokumpu;Outokumpu;14.12.2007;Vähittäismyyntilupa/max. 5.5 %;0168170-9
ABC Forssa;Autoilijankatu;30100;Forssa;Forssa;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0910257-2
ABC Forssa market;Matkailijankatu 2;30100;Forssa;Forssa;12.10.2005;Vähittäismyyntilupa/max. 5.5 %;0910257-2
ABC Haapajärvi;Puistokatu 40;85800;Haapajärvi;Haapajärvi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0242821-1
ABC Haapajärvi myymälä;Puistokatu 40;85800;Haapajärvi;Haapajärvi;01.10.2003;Vähittäismyyntilupa/max. 5.5 %;0242821-1
ABC Heinola;Työmiehentie 33;18200;Heinola;Heinola;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0910257-2
ABC Hirvaskangas myymälä;Suonenjoentie 10;41290;Kangashäkki;Äänekoski;10.01.2003;Vähittäismyyntilupa/max. 5.5 %;0208265-2
ABC Hirvaskangas, rav;Suonenjoentie 10;41290;Kangashäkki;Äänekoski;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0208265-2
ABC Huittinen Market;Loimijoentie 89;32700;Huittinen;Huittinen;18.05.2010;Vähittäismyyntilupa/max. 5.5 %;0137281-8
ABC Häijää;Kauppakuja 1;38420;Sastamala;Sastamala;01.06.2022;Anniskelu A, kaikki alkoholijuomat;0536307-0
ABC Imatra, Sale-myymälä;Tiedonkatu 2;55420;Imatra;Imatra;03.04.2014;Vähittäismyyntilupa/max. 5.5 %;0162170-6
ABC Jalasjärvi;Oikotie 1;61600;Jalasjärvi;Kurikka;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0567671-2
ABC Joutsentie;Joutsentie 9;84100;Ylivieska;Ylivieska;06.02.1995;Vähittäismyyntilupa/max. 5.5 %;0242821-1
ABC Juuka Ravintola;Karjalantie 1;83900;Juuka;Juuka;01.09.2019;Anniskelu A, kaikki alkoholijuomat;0168170-9
ABC Juva ravintola;Tulostie 1;51900;Juva;Juva;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0207220-0
ABC Kajaani;Taikatie 4;87700;Kajaani;Kajaani;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0185505-1
ABC Kalajoki Hiekkasärkät myymälä;Matkailutie 311;85100;Kalajoki;Kalajoki;24.06.2004;Vähittäismyyntilupa/max. 5.5 %;0242821-1
ABC Kaleva Sale;Ilmarinkatu 49;33500;Tampere;Tampere;22.01.2009;Vähittäismyyntilupa/max. 5.5 %;0536307-0
ABC Kannus;Junkalantie 1;69100;Kannus;Kannus;01.03.1995;Vähittäismyyntilupa/max. 5.5 %;0242821-1
ABC Karkkila Masuuni myymälä;Santasalonkatu 2;03600;Karkkila;Karkkila;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1834868-9
ABC Kauhajoki;Topeeka 65;61800;Kauhajoki;Kauhajoki;01.03.1995;Vähittäismyyntilupa/max. 5.5 %;0567671-2
ABC Kauhajoki;Topeeka 63-65;61800;Kauhajoki;Kauhajoki;01.05.2000;Anniskelu A, kaikki alkoholijuomat;0567671-2
ABC Kauhava;Peltopassi 2;62200;Kauhava;Kauhava;03.10.2019;Anniskelu A, kaikki alkoholijuomat;0567671-2
ABC Kausala;Hallitie 1;47400;Kausala;Iitti;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2467766-5
